code,display
11190007,drug stick
17519006,lotion
30843009,drug aerosol foam
36875001,drug patch
37937005,drug paste
46992007,pill
48582000,caplet
52262001,drug aerosol
63316001,liniment
64241004,drug pledget
66076007,chewable tablet
385018001,oral drops
385035002,soluble tablet
385036001,dispersible tablet
385039008,oral paste
385048003,cachet
385049006,capsule
385050006,hard capsule
385051005,soft capsule
385052003,gastro-resistant capsule
385053008,prolonged-release capsule
385054002,modified-release capsule
385055001,tablet
385057009,film-coated tablet
385058004,effervescent tablet
385059007,gastro-resistant tablet
385060002,prolonged-release tablet
385061003,modified-release tablet
385062005,oral lyophilisate
385063000,oral gum
385064006,pillule
385073003,oromucosal spray
385074009,sublingual spray
385078007,oromucosal gel
385079004,oromucosal paste
385080001,medicated chewing-gum
385081002,gingival gel
385082009,gingival paste
385083004,oromucosal capsule
385084005,sublingual tablet
385085006,buccal tablet
385086007,muco-adhesive buccal tablet
385087003,lozenge
385088008,dental gel
385089000,dental stick
385090009,dental insert
385091008,dental powder
385104006,shampoo
385105007,cutaneous spray
385106008,cutaneous solution spray
385114002,transdermal patch
385115001,collodion
385116000,medicated nail laquer
385117009,poultice
385118004,cutaneous stick
385119007,cutaneous sponge
385124005,eye drops
385128008,prolonged-release eye drops
385132002,ophthalmic insert
385136004,ear drops
385139006,ear powder
385140008,ear spray
385147006,ear tampon
385148001,ear stick
385152001,nasal drops
385156003,nasal powder
385157007,nasal spray
385162008,nasal stick
385163003,eye/ear/nose drops
385164009,eye/ear/nose ointment
385173001,tablet for vaginal solution
385174007,pessary
385175008,vaginal capsule
385176009,hard vaginal capsule
385177000,soft vaginal capsule
385178005,vaginal tablet
385179002,effervescent vaginal tablet
385180004,medicated vaginal tampon
385186005,enema
385192004,tablet for rectal solution
385193009,tablet for rectal suspension
385194003,suppository
385195002,rectal capsule
385196001,rectal tampon
385203008,pressurised inhalation
385204002,pressurised inhalation solution
385205001,pressurised inhalation suspension
385206000,pressurised inhalation emulsion
385207009,inhalation powder
385208004,hard capsule inhalation powder
385210002,inhalation vapor
385211003,inhalation vapor powder
385212005,inhalation vapor capsule
385213000,inhalation vapor solution
385214006,inhalation vapor tablet
385215007,inhalation vapor ointment
385216008,inhalation vapor liquid
385217004,inhalation gas
385236009,implantation tablet
385237000,implantation chain
385246006,urethral stick
385261007,wound stick
385278003,cutaneous powder spray
385279006,cutaneous suspension spray
385286003,implant dosage form
420243009,tampon dose form
420293008,coated pellets capsule
420317006,inhaler
420378007,extended-release film coated tablet
420385006,extended-release insert
420460001,film
420610000,nasal aerosol
420627008,extended-release tablet
420631002,vaginal insert
420636007,eye/ear drops
420692007,oral capsule
420699003,liquid dose form
420761001,urethral suppository
420767002,delayed-release pellets capsule
420768007,pellet
420847003,metered dose aerosol
420927005,metered powder
420929008,rectal suppository
420956005,ultramicronized tablet
420992009,implantable pellet
421026006,oral tablet
421027002,delayed-release capsule
421034000,extended-release suppository
421043009,extended-release film
421079001,pastille
421104008,aerosol powder
421131006,gaseous dose form
421155001,extended-release enteric coated tablet
421195004,vaginal suppository
421271006,extended-release bead implant
421288004,sponge
421300005,extended-release film coated capsule
421338009,extended-release coated capsule
421340004,powder spray
421347001,cutaneous aerosol
421366001,tablet for oral suspension
421374000,delayed-release tablet
421378002,solid dose form
421427005,eye/ear ointment
421504000,cone
421535006,delayed-release particles tablet
421606006,aerosol spray
421618002,extended-release capsule
421620004,sustained-release buccal tablet
421701006,tablet for oral solution
421716009,transdermal drug delivery system
421720008,spray dose form
421721007,coated particles tablet
421752008,extended-release enteric coated capsule
421759004,metered dose aerosol inhaler
421932003,multilayer tablet
421937009,medicated toothpaste
422054001,metered dose powder inhaler
422059006,metered dose inhaler
422151007,breath activated powder inhaler
422186009,tincture
422197009,breath activated inhaler
422199007,dental cone
422201009,tablet for cutaneous solution
422259002,spirit
422301006,modified-release pessary
424179000,aerosol generator
424552006,vaginal sponge
425965000,rectal spray
426210003,gum
426684005,drops dose form
426823003,vaginal spray
426969004,metered spray
427129005,coated capsule
427564005,pressurized spray
427609008,modified release drops dose form
429885007,bar
443424002,buccal film
447050008,orodispersible film
447079001,orodispersible tablet
