code,standard,preferred
417924000,apply,apply
418283001,administer,administer
419385000,use,use
419582001,give,give
419652001,take,take
419747000,chew,chew
420045007,suck,suck
420246001,at,at
420247005,dosing instruction imperative,dosing instruction imperative
420295001,only,only
420341009,constant,constant
420360002,sniff,sniff
420484009,subtract - dosing instruction fragment,subtract - dosing instruction fragment
420503003,as,as
420561004,or,or
420604000,finish,finish
420606003,shampoo,shampoo
420620005,push,push
420652005,until gone,until gone
420771004,upon,upon
420806001,per,per
420883007,sparingly,sparingly
420942008,call,call
420974001,when,when
421035004,to,to
421066005,place,place
421067001,then,then
421134003,inhale,inhale
421139008,hold,hold
421206002,multiply,multiply
421257003,insert,insert
421286000,discontinue,discontinue
421298005,swish and swallow,swish and swallow
421399004,dilute,dilute
421463005,with,with
421484000,then discontinue,then discontinue
421521009,swallow,swallow
421538008,instill,instill
421548005,until,until
421612001,every,every
421682005,dissolve,dissolve
421718005,before,before
421723005,now,now
421769005,follow directions,follow directions
421803000,if,if
421805007,swish,swish
421829000,and,and
421832002,twice,twice
421939007,follow,follow
421984009,until finished,until finished
421994004,during,during
422033008,divide,divide
422106007,add,add
422114001,once,once
422145002,inject,inject
422152000,wash,wash
422219000,sprinkle,sprinkle
422327006,then stop,then stop
